timestamp,symbol,type,price,size,bid,ask
1766189512547757964,AAPL,QUOTE,0.0,0,272.99,273.0
1766189520343684285,AAPL,TRADE,273.0,10,0.0,0.0
1766189528438507208,AAPL,TRADE,272.99,1,0.0,0.0
1766189534618650595,AAPL,TRADE,273.0,10,0.0,0.0
1766189537710522152,AAPL,TRADE,273.0,50,0.0,0.0
1766189537711533689,AAPL,TRADE,272.9999,50,0.0,0.0
1766189539633786504,AAPL,TRADE,272.9997,7,0.0,0.0
1766189540181959866,AAPL,TRADE,272.99,50,0.0,0.0
1766189542121468098,AAPL,TRADE,273.0,20,0.0,0.0
1766189542121469464,AAPL,TRADE,273.0,209,0.0,0.0
1766189555332380288,AAPL,TRADE,272.9918,1,0.0,0.0
1766189572725677338,AAPL,TRADE,272.99,13,0.0,0.0
1766189576258223860,AAPL,TRADE,273.0,11,0.0,0.0
1766189579147879605,AAPL,TRADE,272.9916,2,0.0,0.0
1766189589095318165,AAPL,TRADE,272.9998,1,0.0,0.0
1766189606343239073,AAPL,TRADE,272.9999,15,0.0,0.0
1766189615857232021,AAPL,TRADE,273.0,1,0.0,0.0
1766189658392579012,AAPL,TRADE,272.99,10,0.0,0.0
1766189658392579629,AAPL,QUOTE,0.0,0,272.98,273.0
1766189658392589870,AAPL,QUOTE,0.0,0,272.99,273.0
1766189661702755527,AAPL,TRADE,272.99,100,0.0,0.0
1766189681462247766,AAPL,QUOTE,0.0,0,272.99,273.0
1766189692199612071,AAPL,TRADE,272.99,20,0.0,0.0
1766189706055463073,AAPL,TRADE,272.9918,3,0.0,0.0
1766189708069631645,AAPL,TRADE,273.0,200,0.0,0.0
1766189718630291171,AAPL,TRADE,272.99,10,0.0,0.0
1766189723275509234,AAPL,TRADE,273.0,2,0.0,0.0
1766189732275158093,AAPL,QUOTE,0.0,0,272.98,273.0
1766189732275158365,AAPL,TRADE,272.99,90,0.0,0.0
1766189732275159868,AAPL,TRADE,272.99,10,0.0,0.0
1766189732275169352,AAPL,QUOTE,0.0,0,272.99,273.0
1766189733950169423,AAPL,TRADE,273.0,3,0.0,0.0
1766189743831171420,AAPL,TRADE,273.0,25,0.0,0.0
1766189750400785568,AAPL,QUOTE,0.0,0,272.99,273.0
1766189750511675770,AAPL,TRADE,272.9912,100,0.0,0.0
1766189765704875948,AAPL,TRADE,272.9922,3,0.0,0.0
1766189791676351842,AAPL,TRADE,272.99,5,0.0,0.0
1766189818482459050,AAPL,TRADE,272.9916,2,0.0,0.0
1766189832611838053,AAPL,TRADE,272.99,100,0.0,0.0
